Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,GFC,ip
2000-04-01,418776.6,6.33777391618993,2877800000.0,76.01382,4.4,5.574,30.7,31.236,2.6,22.76,9796.34,90.6
2000-07-01,419484.3,5.38547697432334,5227600000.0,76.24255,4.2,5.756,35.4,33.18173,2.7,28.68,9667.85,89.7
2000-10-01,426320.2,3.53805340722753,4732900000.0,76.85249,4.0,5.57,33.5,37.34011,7.6,30.96,9489.33,92.9
2001-01-01,419672.4,0.186219739292359,4695700000.0,76.7,4.3,5.088,27.2,35.51633,2.2,25.62,9221.72,94.5
2001-04-01,422401.3,-0.0742666171556272,5619400000.0,78.0,4.3,5.136,21.2,31.62216,-4.5,25.66,9411.92,95.7
2001-07-01,425218.8,-0.554733727810652,4552300000.0,78.1,4.5,5.315,18.0,32.92293,9.8,24.61,9847.24,92.1
2001-10-01,427371.6,0.481838398813994,5561500000.0,78.5,4.7,4.858,11.2,27.78626,2.3,20.54,9788.76,91.9
2002-01-01,424355.6,2.37918215613382,5869900000.0,78.6,4.6,5.083,18.3,28.48271,5.9,19.42,10109.44,99.0
2002-04-01,425095.4,2.60126347082867,3592000000.0,80.0,4.3,5.403,29.1,28.76183,4.7,25.73,10025.26,97.7
2002-07-01,426946.6,3.38415767943434,3194400000.0,79.8,4.8,5.13,19.5,25.56547,2.8,25.74,9738.67,96.2
2002-10-01,426003.0,2.1394319439324,3993500000.0,80.5,4.9,4.81,21.7,22.17941,3.7,27.54,9682.07,98.4
2003-01-01,427257.1,2.68700072621688,4506900000.0,80.6,4.8,4.426,15.3,22.69972,3.8,31.18,9660.41,96.6
2003-04-01,423979.2,3.36834480260781,5243700000.0,81.9,5.4,4.409,13.4,23.12112,-0.5,25.0,10101.24,97.1
2003-07-01,425238.9,3.6690647482015,3303500000.0,81.3,5.4,4.166,24.4,25.43133,1.4,28.35,9538.78,95.7
2003-10-01,433434.6,4.73094980137194,3687400000.0,81.6,5.7,4.438,27.6,29.90813,5.2,29.61,10064.96,96.9
2004-01-01,435295.3,3.42998585572836,4566500000.0,81.6,5.8,4.35,36.0,31.20212,7.5,31.28,10374.07,93.8
2004-04-01,438505.0,3.92431674842348,3036200000.0,82.6,5.5,4.301,37.5,31.94736,10.2,33.59,10145.08,96.0
2004-07-01,439372.3,4.54545454545421,2627600000.0,82.4,5.6,4.62,27.8,32.60858,7.3,38.22,10173.23,93.7
2004-10-01,444210.3,6.72413793103535,5020500000.0,83.0,5.4,4.229,34.7,34.09768,7.8,49.78,10662.67,92.3
2005-01-01,442341.7,5.60683760683784,5496000000.0,82.4,5.3,3.735,31.3,36.12336,9.3,44.51,10937.82,94.6
2005-04-01,451762.8,4.41672285906909,4826500000.0,84.1,5.2,3.582,33.4,40.15573,7.9,51.88,10633.25,101.2
2005-07-01,451138.4,3.81679389313097,4974200000.0,84.1,5.0,3.205,28.7,43.93879,6.5,57.52,11323.32,94.3
2005-10-01,453607.3,1.421647819062,5337900000.0,84.7,4.3,3.218,31.0,45.14742,10.4,58.54,11390.22,95.5
2006-01-01,458356.7,2.75169957915156,3366300000.0,84.2,4.1,3.311,31.9,49.88438,12.5,62.99,11830.21,100.1
2006-04-01,472117.2,4.52050371327073,2418200000.0,85.7,4.2,3.975,32.2,51.09978,9.0,70.26,12318.22,98.6
2006-07-01,468816.8,3.42071611253119,4026500000.000001,85.8,3.8,4.063,32.4,47.16225,6.4,73.67,13578.33,101.2
2006-10-01,468212.4,4.01401720293044,2759300000.0,86.0,3.5,3.878,36.1,52.93034,9.9,57.81,13580.51,102.5
2007-01-01,469997.3,2.58349086326368,2881100000.0,85.7,4.1,3.996,30.4,58.73365,8.6,53.68,13108.29,99.8
2007-04-01,464930.7,0.339820821748726,455600000.0,87.1,3.5,4.182,28.6,61.91917,7.9,67.49,14138.77,96.6
2007-07-01,472887.5,1.45285935085002,3034000000.0,86.8,4.0,4.582,27.8,66.65342,7.8,76.93,13599.04,97.9
2007-10-01,478123.2,0.0612557427267735,1723500000.0,87.5,3.7,4.394,28.6,66.72117,8.1,82.34,13501.99,101.6
2008-01-01,476328.5,0.614250614250955,4687000000.0,88.2,3.2,4.149,22.2,54.87878,0.6,92.18,13736.24,100.2
2008-04-01,471850.0,-0.184729064038658,3076500000.0,90.0,3.2,4.285,19.7,55.02918,-0.5,109.07,14134.15,100.5
2008-07-01,469354.7,-3.83912248628844,3505900000.0,90.3,3.7,4.777,16.0,50.87757,-4.0,132.72,13937.03,96.7
2008-10-01,460537.7,-4.74441383532385,1974700000.0,90.7,3.6,4.427,5.5,37.12061,-5.1,71.58,14085.13,96.1
2009-01-01,451510.2,-5.25030525030562,-2900000.0,89.8,5.4,3.442,-5.0,32.00833,0.0,43.44,13522.49,88.8
2009-04-01,443277.3,-4.41085749537393,4187100000.0,91.1,6.2,3.499,-4.0,30.60459,3.2,50.18,12775.19,83.5
2009-07-01,444512.3,-3.04182509505696,6969400000.0,91.2,5.8,3.736,3.8,35.42962,6.0,64.44,11386.04,84.3
2009-10-01,445346.8,-1.89588688945944,2780700000.0,91.6,7.0,3.596,12.0,40.19503,6.2,72.77,11775.25,80.5
2010-01-01,449272.0,-1.54639175257727,5162900000.0,91.6,7.5,3.568,18.2,42.75049,6.8,76.17,10753.8,82.0
2010-04-01,451260.0,-3.93675379154604,7077100000.0,93.4,7.7,3.343,27.8,47.75979,8.1,84.82,10748.31,84.5
2010-07-01,457466.2,-2.35294117647098,7541600000.0,93.2,7.7,2.716,21.8,47.99962,7.1,75.58,10891.57,84.8
2010-10-01,454897.6,-2.81690140845043,6363900000.0,93.8,8.1,2.456,23.3,49.36272,5.3,82.67,11190.38,85.0
2011-01-01,458009.3,-3.82853403141393,10542700000.0,94.1,8.0,3.052,24.3,54.47364,4.3,96.52,10972.77,85.5
2011-04-01,462355.8,-2.95599596909619,7694400000.0,96.2,7.3,3.416,22.0,53.44793,4.1,123.26,11003.53,85.4
2011-07-01,456393.8,-4.01606425702757,5732400000.0,96.0,8.2,3.016,8.2,49.66352,2.1,116.97,11360.29,83.3
2011-10-01,459900.5,-4.34782608695706,7443300000.0,96.4,8.2,2.232,-4.5,40.77224,-2.0,109.55,11259.82,84.3
2012-01-01,458795.7,-4.59339911534508,8858100000.0,96.7,7.5,1.735,-6.9,45.83032,-3.0,110.69,11401.11,83.8
2012-04-01,458687.6,-3.66908965039821,7515300000.0,98.3,8.4,1.713,-2.6,51.03203,2.5,119.75,11977.25,82.1
2012-07-01,459514.7,-3.83542538354281,8746100000.0,98.2,7.5,1.1,-7.2,51.63906,2.2,102.62,11849.6,86.8
2012-10-01,459561.6,-3.03030303030276,7312300000.0,98.7,7.6,1.292,-7.8,54.84626,-0.9,111.71,11945.57,85.7
2013-01-01,462913.3,-2.92439372325253,6801300000.0,97.9,7.9,1.612,-7.3,57.86918,-0.5,112.96,12032.73,87.7
2013-04-01,463763.0,-1.72475745598232,6222800000.0,99.1,8.3,1.415,-3.9,59.2919,1.4,102.25,11960.87,86.8
2013-07-01,467677.1,-0.833937635968052,5899900000.0,98.8,7.5,1.765,-0.2,60.10894,3.5,107.93,12005.58,87.1
2013-10-01,467783.4,-1.05377906976742,9803500000.0,99.3,6.8,1.934,3.7,65.54777,6.8,109.08,12599.45,89.2
2014-01-01,467835.0,0.330639235855967,6327100000.0,98.9,7.5,1.856,4.8,72.71282,6.3,108.12,12242.67,87.1
2014-04-01,468240.7,0.950639853747637,3973500000.0,99.8,6.7,1.565,4.1,77.80884,4.2,107.76,12769.88,85.7
2014-07-01,475092.7,0.219378427787964,4597900000.0,99.5,6.5,1.235,6.3,82.40082,9.5,106.77,12505.11,85.7
2014-10-01,474766.4,1.21189864120461,6193900000.0,99.8,6.8,1.127,7.7,80.46051,8.6,87.43,12902.07,87.1
2015-01-01,478344.5,1.64774807762673,5187000000.0,98.8,6.0,0.626,5.7,85.53756,8.2,47.76,13181.62,84.7
2015-04-01,481478.6,-1.0503440782324,7788200000.0,100.3,6.5,0.246,7.8,104.648,10.5,59.52,12967.6,88.6
2015-07-01,482249.5,1.20394016782233,3587700000.0,100.2,6.6,0.943,8.9,104.3621,7.7,56.56,13486.2,87.8
2015-10-01,483550.1,0.834542815674344,3720800000.0,100.1,6.2,0.83,11.9,99.31348,4.4,48.43,13308.75,84.3
2016-01-01,489515.9,0.252161383285432,5409500000.0,99.4,5.7,0.786,8.0,100.8351,2.7,30.7,14139.27,90.3
2016-04-01,494856.6,1.57393850658896,7641500000.0,100.3,6.0,0.396,5.0,100.8351,4.8,41.58,14291.93,88.9
2016-07-01,498893.1,-0.0360490266762992,9007400000.0,100.5,6.5,0.073,5.3,102.6291,2.6,44.95,14891.59,92.5
2016-10-01,501532.6,0.431810003598665,2610100000.0,100.4,6.3,0.132,5.2,98.11841,2.5,49.52,14902.03,93.8
2017-01-01,506384.2,-0.179662234997302,6542100000.0,100.3,6.1,0.373,10.2,99.62784,4.1,54.58,15147.89,88.4
2017-04-01,512493.1,0.108108108108151,4335800000.0,101.4,5.9,0.545,7.4,104.503,6.6,52.31,15001.54,90.8
2017-07-01,511348.0,0.252434186800454,2795700000.0,102.0,5.8,0.673,8.4,111.4756,8.2,48.48,15441.97,89.5
2017-10-01,515237.9,0.0716589036188209,5205500000.0,101.9,5.4,0.531,10.9,115.9457,8.2,57.51,15842.03,91.7
2018-01-01,519425.0,0.899928005759043,240700000.0,101.0,5.4,0.567,11.5,114.9444,7.4,69.08,16206.15,93.0
2018-04-01,519243.4,1.47588192944546,-7083900000.0,102.2,5.1,0.553,9.6,109.8619,4.5,72.11,16124.86,92.6
2018-07-01,522032.8,1.3309352517993,6912000000.000001,103.1,5.0,0.32,10.0,115.3468,8.2,74.25,17847.65,93.1
2018-10-01,522808.0,1.611170784103,5761600000.0,102.7,5.0,0.418,10.5,106.045,4.7,81.03,15796.3,96.7
2019-01-01,524885.5,0.285408490902772,6285200000.0,102.3,5.1,0.153,8.9,105.7103,3.0,59.41,15743.7,96.2
2019-04-01,529656.4,-0.780418588152254,8044200000.0,103.2,5.4,0.082,8.2,115.4091,3.3,71.23,16616.88,97.1
2019-07-01,531375.1,-0.0354987575435062,7459800000.0,103.5,4.6,-0.308,6.8,115.8671,1.3,63.92,16211.49,97.9
2019-10-01,533249.3,-0.986610288935441,6732900000.0,103.3,5.0,-0.432,5.1,115.8251,3.0,59.71,16406.52,96.6
2020-01-01,528818.4,-0.462468872287702,7908600000.0,103.0,4.7,-0.259,7.3,129.9099,3.7,63.65,16650.38,92.3
2020-04-01,497466.4,4.21880586342545,7088800000.0,103.2,4.2,-0.21,-42.7,120.8723,-7.4,18.38,16974.53,88.8
2020-07-01,527479.1,4.79403409090877,5970900000.0,104.0,6.4,-0.341,-25.4,141.0044,2.4,43.24,16155.1,86.9
2020-10-01,527679.0,8.1850533807825,3194100000.0,103.7,5.9,-0.458,-16.5,151.2479,1.7,40.19,17181.18,90.1
2021-01-01,530453.8,5.71837026447481,4933400000.0,103.6,6.2,-0.444,-8.3,165.4561,3.2,54.77,18933.28,94.4
2021-04-01,548768.0,3.97941680960485,3102300000.0,104.7,5.0,0.003,3.7,169.8882,6.9,64.81,18923.83,98.2
2021-07-01,559600.8,2.16875635377864,2893200000.0,105.7,4.2,-0.05,12.6,188.0311,6.6,75.17,19963.78,102.3
2021-10-01,577920.8,-1.67763157894738,754200000.0,106.8,4.8,0.097,14.5,190.5717,6.3,83.54,20134.13,103.5
2022-01-01,547358.3,-0.709939148073402,-391800000.0,108.1,4.9,0.114,11.2,186.1328,0.7,86.51,20649.29,106.4
2022-04-01,557260.9,-6.73045199604101,-4703200000.0,111.7,4.0,1.04,10.1,189.1463,-14.8,104.58,20930.04,110.0
2022-07-01,564761.5,-7.42951907131053,2358900000.0,114.9,4.6,1.586,5.9,182.3539,-18.1,111.93,21320.65,110.1
2022-10-01,557201.5,-8.73201739712254,1759800000.0,117.6,4.5,2.599,-1.2,167.3341,-23.5,93.33,21264.5,109.5
2023-01-01,563777.6,-6.33299284984654,10649300000.0,116.4,4.4,2.433,-1.3,191.1422,-13.5,82.5,24357.97,120.1
2023-04-01,556899.8,-1.55642023346293,6797400000.0,117.6,5.0,2.597,-1.4,204.3422,-8.8,84.64,21918.3,119.4
2023-07-01,553915.2,-0.573271228949523,4795000000.0,118.5,5.3,2.738,2.5,202.0943,-5.3,80.11,22093.78,119.3
2023-10-01,565451.0,2.82258064516132,6307900000.0,117.7,6.2,3.133,1.8,207.3313,-6.7,90.6,22796.98,122.4
2024-01-01,568671.3,1.4540167211921,5579300000.0,117.8,6.0,2.403,3.0,226.6395,-4.7,80.12,21235.54,131.1
