Real GDP,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
431573.4,2.69761606022587,59200000.0,79.17,10.4,5.66,12.1,98.18359,-1.4,25.51,108.8
,,-799800000.0,79.27,10.2,5.62,11.4,105.3725,-1.9,27.78,109.0
,,-763000000.0,79.64,10.1,5.43,11.1,109.6896,-1.0,27.49,109.8
436351.5,3.03781773093617,-87100000.0,79.64,9.9,5.33,9.5,105.852,0.2,22.76,110.5
,,-226700000.0,79.8,9.7,5.5,11.8,107.8977,-0.2,27.74,111.9
,,-746200000.0,80.0,9.5,5.32,14.4,110.947,-0.1,29.8,110.4
439734.8,4.4637321760695,-974100000.0,79.87,9.4,5.4,10.0,110.7003,1.2,28.68,111.7
,,-1473400000.0,80.02,9.3,5.36,12.0,111.967,-0.9,30.2,110.6
,,-1686900000.0,80.43,9.1,5.42,13.7,111.9686,-3.1,33.14,111.0
442407.6,6.07361963190196,-2585300000.0,80.33,9.0,5.36,12.3,105.3168,-0.8,30.96,112.2
,,-996200000.0,80.51,8.9,5.29,9.6,105.4762,-0.7,32.55,112.1
,,-1947000000.0,80.47,8.8,5.04,10.4,100.8238,1.3,25.66,113.2
444704.2,7.14722052535131,-1125000000.0,80.13,8.7,4.94,10.8,99.78284,2.0,25.62,112.5
,,-21600000.0,80.35,8.7,4.93,13.5,97.40707,0.4,27.5,113.2
,,-1610800000.0,80.71,8.7,4.84,14.7,90.1658,-0.8,24.5,113.8
444805.3,7.88206979542725,-538000000.0,81.1,8.7,5.0,11.4,91.85268,-1.4,25.66,111.9
,,-893800000.0,81.6,8.7,5.21,7.3,95.85862,-4.7,28.31,112.8
,,-818800000.0,81.65,8.8,5.15,6.4,91.24416,-4.8,27.85,112.9
447374.3,6.05341246290789,-581100000.0,81.48,8.8,5.15,1.2,86.31496,-4.7,24.61,111.2
,,239500000.0,81.48,8.8,4.95,1.0,84.85224,-6.1,25.68,114.1
,,-109600000.0,81.63,8.8,4.94,0.7,71.22739,-7.6,25.62,112.4
445420.4,4.10641989589353,532900000.00000006,81.68,8.8,4.72,-7.5,73.33598,-6.5,20.54,111.6
,,-298100000.0,81.46,8.8,4.57,-8.5,78.01146,-5.0,18.8,110.3
,,183800000.0,81.56,8.8,4.87,-8.5,78.71862,-4.1,18.71,110.8
447964.9,2.56556442417328,-382200000.0,81.94,8.8,4.93,-5.7,79.00004,-4.0,19.42,110.8
,,-1162500000.0,82.04,8.8,4.99,-3.3,76.41946,-4.0,20.28,111.3
,,511000000.0,82.4,8.7,5.24,0.8,81.21696,-3.8,23.7,111.8
450068.4,1.89626324595651,324300000.0,82.71,8.7,5.24,4.7,80.50818,-5.4,25.73,112.5
,,506300000.0,82.81,8.6,5.26,5.4,78.11144,-2.2,25.35,111.6
,,74500000.0,82.8,8.6,5.11,0.7,70.79169,-3.0,24.08,111.5
451947.2,3.24566312255179,846400000.0,82.8,8.6,4.96,-2.9,62.83196,-4.3,25.74,110.5
,,1068800000.0,82.99,8.6,4.67,-4.4,61.03434,-5.4,26.65,112.4
,,237800000.0,83.14,8.6,4.46,-5.5,55.69793,-6.7,28.4,111.1
452344.2,2.44444444444445,291400000.0,83.27,8.6,4.55,-5.3,53.45279,-5.3,27.54,110.2
,,-625400000.0,83.27,8.6,4.53,-5.2,57.48641,-5.1,24.34,111.2
,,513600000.0,83.41,8.5,4.38,-1.5,56.35672,-4.4,28.33,108.6
453712.2,2.33463035019448,-1149000000.0,83.57,8.2,4.22,-5.2,54.84589,-6.7,31.18,110.8
,,-590600000.0,84.15,8.3,4.01,-3.1,50.73352,-9.2,32.77,111.9
,,-1276000000.0,84.49,8.4,4.1,-8.3,48.53165,-11.4,30.61,110.9
451690.8,0.93048713738364,-699100000.0,84.37,8.5,4.22,-9.7,51.73661,-10.0,25.0,111.0
,,-663200000.0,84.27,8.5,3.89,-7.0,53.55896,-10.1,25.86,108.2
,,-323300000.0,84.43,8.5,3.69,-7.2,56.33199,-10.0,27.65,107.9
456595.1,0.487804878048803,-231100000.0,84.34,8.5,4.01,-5.2,56.91606,-9.6,28.35,109.8
,,406600000.0,84.54,8.3,4.16,-4.5,58.97385,-10.2,29.89,109.5
,,-543400000.0,84.86,8.5,4.23,-3.4,60.80991,-10.8,27.11,109.2
458173.6,0.704989154013069,-678700000.0,85.04,8.7,4.28,-3.2,60.81502,-10.0,29.61,111.9
,,-290300000.0,85.14,8.8,4.41,-1.7,62.63467,-9.7,28.75,109.6
,,1004300000.0,85.23,9.0,4.34,0.9,63.89473,-8.8,29.81,110.3
463150.9,1.79250407387292,36400000.0,85.23,8.9,4.2,9.0,66.3772,-6.2,31.28,111.2
,,-517900000.0,85.59,8.9,4.14,9.8,67.63,-7.0,30.86,112.2
,,-535100000.0,85.93,8.9,3.98,7.7,67.38299,-7.1,33.63,111.9
465172.5,2.76572668112807,-984800000.0,86.15,8.8,4.18,7.1,68.79276,-9.6,33.59,111.9
,,-409100000.0,86.47,8.8,4.34,6.3,66.46671,-8.2,37.57,111.3
,,-1189100000.0,86.5,8.8,4.39,5.9,67.85228,-8.4,35.18,112.5
466828.3,1.9956850053938,-782300000.0,86.36,8.8,4.27,8.6,66.76049,-7.9,38.22,112.8
,,-1920600000.0,86.55,8.9,4.11,7.5,65.60526,-7.5,42.74,109.0
,,-2204700000.0,86.63,8.9,4.09,6.8,67.48566,-7.2,43.2,112.8
470970.5,3.06946688206775,-2422500000.0,86.85,9.0,3.98,7.1,68.06032,-6.5,49.78,113.8
,,-1593700000.0,86.9,9.0,3.86,5.7,69.65716,-8.0,43.11,111.8
,,-2465100000.0,87.0,8.9,3.64,10.6,70.15225,-6.9,39.6,112.1
472416.2,4.37566702241201,-1428900000.0,86.52,8.7,3.58,8.8,71.6784,-8.3,44.51,114.1
,,-2381300000.0,87.05,8.6,3.6,5.8,74.36838,-7.9,45.48,112.6
,,-3297400000.0,87.6,8.6,3.75,6.7,75.58381,-7.4,53.1,110.1
473413.7,3.06068601583103,-3357700000.0,87.77,8.7,3.54,6.6,74.97421,-10.1,51.88,113.2
,,-2513300000.0,87.83,8.8,3.38,7.2,75.27122,-13.0,48.65,111.8
,,-1949800000.0,87.93,8.9,3.2,10.9,78.19746,-8.9,54.35,111.8
477006.9,3.75462718138546,-2543900000.0,87.8,8.9,3.27,11.3,81.40564,-11.3,57.52,111.3
,,-2882500000.0,88.14,9.0,3.3,11.1,83.10596,-9.2,63.98,110.6
,,-2974400000.0,88.48,9.1,3.13,10.9,84.38403,-7.2,62.91,113.7
480313.8,4.07523510971801,-2629400000.0,88.46,9.1,3.29,9.8,83.93516,-12.5,58.54,110.3
,,-3697600000.0,88.28,9.1,3.5,9.0,84.99443,-13.9,55.24,114.8
,,-3222500000.0,88.39,9.1,3.38,6.2,88.35233,-10.5,56.86,113.3
484539.0,2.30061349693249,-3245100000.0,88.3,9.2,3.34,9.5,91.27856,-9.0,62.99,112.6
,,-2829100000.0,88.64,9.2,3.51,8.4,94.03708,-9.7,60.21,111.8
,,-2483900000.0,88.89,9.1,3.69,7.9,96.84693,-10.8,62.06,114.0
490333.9,3.43061955965187,-3271200000.0,89.27,9.0,3.95,9.5,98.47603,-7.5,70.26,113.3
,,-3174300000.0,89.65,8.9,4.0,11.2,96.27094,-12.0,69.78,115.2
,,-2474000000.0,89.65,8.9,4.01,9.8,90.70633,-12.1,68.56,115.0
490670.1,3.72069317023447,-3657000000.0,89.5,9.0,4.03,10.4,92.85659,-8.8,73.67,113.3
,,-4614400000.0,89.8,9.0,3.9,10.3,95.74197,-8.7,73.23,112.6
,,-2041700000.0,89.6,8.8,3.77,10.3,97.52185,-8.8,61.96,114.4
493384.1,3.01204819277094,-2654800000.0,89.4,8.5,3.81,11.3,101.0671,-6.7,57.81,113.5
,,-2923500000.0,89.5,8.3,3.74,11.7,103.0948,-7.3,58.76,112.9
,,-3542600000.0,89.71,8.3,3.81,11.0,104.0213,-7.0,62.47,114.7
498533.1,4.04797601199405,-3281100000.0,89.4,8.5,4.07,11.0,106.8663,-6.8,53.68,113.4
,,-4066600000.0,89.57,8.5,4.1,9.5,109.1066,-6.1,57.56,114.5
,,-2293300000.0,89.95,8.4,4.0,10.7,105.7482,-6.3,62.05,115.5
501763.6,3.81188118811886,-3749500000.0,90.39,8.3,4.21,11.3,112.0622,-5.8,67.49,113.4
,,-4207000000.0,90.61,8.1,4.34,11.9,115.78,-1.8,67.21,116.1
,,-4408900000.0,90.72,8.0,4.62,11.2,115.0771,-1.4,71.05,115.8
503359.8,4.22604422604429,-4884300000.0,90.49,8.1,4.58,12.4,114.2116,-2.4,76.93,116.0
,,-4332500000.0,90.86,8.0,4.39,11.7,105.8525,-4.3,70.76,116.7
,,-4563000000.0,90.96,7.9,4.36,11.3,106.8182,-6.4,77.17,114.1
503928.1,3.70370370370376,-4186700000.0,91.19,7.7,4.4,11.5,110.7067,-7.1,82.34,116.8
,,-6036400000.0,91.69,7.5,4.23,10.7,105.8713,-11.2,92.41,114.5
,,-5395400000.0,92.03,7.3,4.35,8.8,106.4562,-9.9,90.93,114.8
508303.8,1.96926032660898,-4862300000.0,91.92,7.2,4.15,10.0,97.47723,-14.6,92.18,115.8
,,-4053900000.0,92.12,7.0,4.08,8.4,92.01046,-13.7,94.99,116.8
,,-5015900000.0,92.81,7.1,4.02,9.4,88.03221,-14.5,103.64,115.4
504460.1,1.1444921316166,-5120300000.0,93.12,7.3,4.27,9.2,93.04339,-15.6,109.07,118.1
,,-6140600000.0,93.62,7.3,4.41,6.3,95.62424,-17.7,122.8,112.4
,,-6667700000.0,93.96,7.4,4.73,5.1,88.99633,-20.6,132.32,112.3
503220.3,0.28288543140027,-6793400000.0,93.76,7.5,4.69,-0.4,81.34651,-19.9,132.72,113.0
,,-6443300000.0,93.73,7.5,4.4,-0.3,83.69379,-18.3,113.24,111.3
,,-6323100000.0,93.67,7.5,4.36,-1.7,80.19182,-17.2,97.23,111.0
496873.4,0.14097744360908,-6841300000.0,93.62,7.6,4.18,-9.4,65.51549,-19.8,71.58,109.0
,,-5745100000.0,93.18,7.8,3.98,-11.3,61.7864,-16.9,52.45,103.5
,,-3212300000.0,92.95,8.0,3.54,-16.7,59.87777,-18.3,39.95,102.3
487565.7,0.282618935468659,-4582500000.0,92.57,8.3,3.6,-20.0,58.65347,-18.0,43.44,98.0
,,-5163700000.0,92.92,8.6,3.68,-21.7,55.14827,-19.0,43.32,96.8
,,-4622300000.0,93.09,8.9,3.65,-26.8,51.5998,-20.0,46.54,95.0
488400.1,0.990099009900969,-4803500000.0,93.24,9.1,3.66,-27.8,57.11496,-15.6,50.18,95.0
,,-3591000000.0,93.38,9.2,3.8,-24.5,61.6219,-15.5,57.3,96.3
,,-4757500000.0,93.5,9.2,3.9,-21.0,61.73479,-14.0,68.61,97.5
489179.1,0.470145745181005,-3056800000.0,93.08,9.1,3.73,-17.1,61.24561,-13.4,64.44,97.1
,,-4014100000.0,93.56,9.2,3.59,-14.0,67.56683,-15.8,72.51,98.5
,,-3853700000.0,93.33,9.3,3.59,-11.3,71.49778,-11.6,67.65,99.3
492753.0,1.3608634443923,-4970500000.0,93.42,9.5,3.56,-10.1,72.6264,-10.4,72.77,98.5
,,-6450600000.0,93.55,9.6,3.56,-10.3,71.7636,-8.5,76.66,99.6
,,-6093400000.0,93.8,9.5,3.48,-7.8,73.43678,-9.0,74.46,99.2
494376.4,1.97275716298737,-4169600000.0,93.59,9.5,3.52,-4.6,75.07339,-8.2,76.17,99.9
,,-4343900000.0,94.11,9.4,3.5,-4.7,70.93764,-10.6,73.75,99.4
,,-5145000000.0,94.57,9.3,3.44,-5.0,75.48194,-12.6,78.83,101.4
496650.1,2.75443510737627,-5458500000.0,94.81,9.3,3.4,-1.7,76.90999,-12.3,84.82,101.0
,,-5837600000.0,94.92,9.3,3.08,0.0,69.40558,-14.8,75.95,102.0
,,-4884000000.0,94.91,9.2,3.07,0.9,69.33381,-15.6,74.76,101.5
499890.7,4.21151146467007,-5524800000.0,94.64,9.2,2.99,2.7,69.03223,-14.8,75.58,102.1
,,-6370700000.0,94.86,9.2,2.68,3.5,70.41808,-12.9,77.04,101.2
,,-5871800000.0,94.79,9.2,2.68,2.5,72.66644,-13.7,77.84,102.5
502975.1,4.12037037037036,-4396800000.0,94.91,9.2,2.72,2.8,74.4689,-12.5,82.67,102.4
,,-6628800000.0,95.02,9.2,3.0,3.1,74.92906,-9.4,85.28,103.6
,,-7189700000.0,95.45,9.2,3.34,5.7,75.9206,-12.4,91.45,104.9
509559.8,5.02072777521876,-7342500000.0,95.22,9.2,3.44,5.9,78.06924,-14.4,96.52,106.1
,,-8137100000.0,95.67,9.2,3.6,7.6,80.27084,-14.9,103.72,106.6
,,-7685800000.0,96.45,9.1,3.61,8.0,77.71714,-16.0,114.64,105.3
509589.1,3.77101317582917,-7978700000.0,96.78,9.1,3.69,8.9,79.38682,-16.5,123.26,103.5
,,-7442300000.0,96.83,9.1,3.49,7.4,79.27151,-15.4,114.99,107.0
,,-7220200000.0,96.91,9.2,3.43,7.7,76.68448,-16.1,113.83,103.8
511182.5,2.51459362370898,-7676300000.0,96.48,9.2,3.4,6.7,76.09155,-15.0,116.97,105.1
,,-7222900000.0,96.98,9.2,2.98,2.9,64.30946,-19.0,110.22,104.0
,,-8031499999.999999,96.91,9.2,2.64,0.6,60.32637,-18.7,112.83,103.4
513082.5,2.17874610938185,-7469800000.0,97.14,9.3,2.99,-2.2,63.06042,-16.2,109.55,103.7
,,-5867100000.0,97.41,9.4,3.41,-3.9,60.70616,-18.9,110.77,105.9
,,-6889000000.0,97.8,9.4,3.16,-4.2,61.66168,-19.8,107.87,103.8
512811.0,2.23684210526311,-6356100000.0,97.46,9.5,3.18,-3.5,64.98276,-18.8,110.69,103.0
,,-7635600000.0,97.86,9.5,3.02,-4.1,68.63309,-16.9,119.33,103.4
,,-7031100000.0,98.67,9.5,2.95,-4.0,70.21676,-13.3,125.45,102.8
510735.5,1.53239929947449,-7551800000.0,98.8,9.7,2.99,-3.9,65.93425,-13.5,119.75,103.7
,,-6614300000.0,98.75,9.7,2.75,-7.6,62.71988,-11.3,110.34,101.6
,,-7916400000.0,98.78,9.7,2.57,-9.4,61.78586,-12.2,95.16,101.5
512292.7,2.58431887866841,-6189400000.0,98.35,9.7,2.28,-11.3,64.64759,-15.7,102.62,102.3
